                  epoch,             train/loss,               val/loss,  metrics/accuracy_top1,  metrics/accuracy_top5, metrics/accuracy_major,                   lr/0
                      0,                 3.4922,                      0,                      0,                      0,                      0,             0.00098763
                      1,                 2.8077,                      0,                      0,                      0,                      0,             0.00097525
                      2,                 2.5904,                      0,                      0,                      0,                      0,             0.00096288
                      3,                  2.463,                      0,                      0,                      0,                      0,              0.0009505
                      4,                 2.3715,                 2.1399,                0.66692,                0.87982,                      0,             0.00093813
                      5,                 2.2954,                      0,                      0,                      0,                      0,             0.00092575
                      6,                 2.2317,                      0,                      0,                      0,                      0,             0.00091337
                      7,                  2.178,                      0,                      0,                      0,                      0,               0.000901
                      8,                 2.1306,                      0,                      0,                      0,                      0,             0.00088862
                      9,                 2.0913,                  1.758,                0.78867,                0.93464,                      0,             0.00087625
                     10,                 2.0455,                      0,                      0,                      0,                      0,             0.00086388
                     11,                 2.0107,                      0,                      0,                      0,                      0,              0.0008515
                     12,                  1.983,                      0,                      0,                      0,                      0,             0.00083913
                     13,                 1.9504,                      0,                      0,                      0,                      0,             0.00082675
                     14,                 1.9178,                 1.6735,                0.81604,                0.94436,                      0,             0.00081437
                     15,                  1.896,                      0,                      0,                      0,                      0,               0.000802
                     16,                 1.8691,                      0,                      0,                      0,                      0,             0.00078963
                     17,                 1.8466,                      0,                      0,                      0,                      0,             0.00077725
                     18,                 1.8303,                      0,                      0,                      0,                      0,             0.00076488
                     19,                 1.8077,                 1.6493,                0.82302,                0.94744,                      0,              0.0007525
                     20,                 1.7888,                      0,                      0,                      0,                      0,             0.00074013
                     21,                 1.7703,                      0,                      0,                      0,                      0,             0.00072775
                     22,                 1.7493,                      0,                      0,                      0,                      0,             0.00071537
                     23,                 1.7292,                      0,                      0,                      0,                      0,               0.000703
                     24,                 1.7175,                 1.6301,                0.82665,                0.94812,                      0,             0.00069063
                     25,                  1.698,                      0,                      0,                      0,                      0,             0.00067825
                     26,                 1.6866,                      0,                      0,                      0,                      0,             0.00066588
                     27,                 1.6678,                      0,                      0,                      0,                      0,              0.0006535
                     28,                 1.6554,                      0,                      0,                      0,                      0,             0.00064112
                     29,                 1.6396,                  1.616,                0.83014,                0.94895,                      0,             0.00062875
                     30,                 1.6226,                      0,                      0,                      0,                      0,             0.00061638
                     31,                 1.6077,                      0,                      0,                      0,                      0,               0.000604
                     32,                  1.599,                      0,                      0,                      0,                      0,             0.00059163
                     33,                 1.5879,                      0,                      0,                      0,                      0,             0.00057925
                     34,                 1.5676,                 1.5867,                0.83329,                 0.9497,                      0,             0.00056687
                     35,                 1.5624,                      0,                      0,                      0,                      0,              0.0005545
                     36,                 1.5487,                      0,                      0,                      0,                      0,             0.00054212
                     37,                 1.5385,                      0,                      0,                      0,                      0,             0.00052975
                     38,                 1.5307,                      0,                      0,                      0,                      0,             0.00051737
                     39,                 1.5165,                  1.561,                0.83801,                0.95073,                      0,               0.000505
                     40,                 1.5025,                      0,                      0,                      0,                      0,             0.00049263
                     41,                 1.4913,                      0,                      0,                      0,                      0,             0.00048025
                     42,                 1.4775,                      0,                      0,                      0,                      0,             0.00046788
                     43,                 1.4756,                      0,                      0,                      0,                      0,              0.0004555
                     44,                 1.4627,                 1.5373,                0.84307,                0.95333,                      0,             0.00044312
                     45,                 1.4534,                      0,                      0,                      0,                      0,             0.00043075
                     46,                 1.4385,                      0,                      0,                      0,                      0,             0.00041838
                     47,                 1.4282,                      0,                      0,                      0,                      0,               0.000406
                     48,                 1.4217,                      0,                      0,                      0,                      0,             0.00039362
                     49,                 1.4099,                 1.5295,                 0.8493,                0.95442,                      0,             0.00038125
                     50,                 1.3975,                      0,                      0,                      0,                      0,             0.00036888
                     51,                 1.3922,                      0,                      0,                      0,                      0,              0.0003565
                     52,                  1.378,                      0,                      0,                      0,                      0,             0.00034413
                     53,                 1.3703,                      0,                      0,                      0,                      0,             0.00033175
                     54,                 1.3626,                 1.5017,                0.85279,                 0.9549,                      0,             0.00031938
                     55,                  1.355,                      0,                      0,                      0,                      0,               0.000307
                     56,                 1.3396,                      0,                      0,                      0,                      0,             0.00029462
                     57,                 1.3305,                      0,                      0,                      0,                      0,             0.00028225
                     58,                 1.3233,                      0,                      0,                      0,                      0,             0.00026987
                     59,                 1.3143,                 1.4862,                0.85669,                0.95572,                      0,              0.0002575
                     60,                 1.3077,                      0,                      0,                      0,                      0,             0.00024513
                     61,                 1.2961,                      0,                      0,                      0,                      0,             0.00023275
                     62,                 1.2867,                      0,                      0,                      0,                      0,             0.00022038
                     63,                 1.2807,                      0,                      0,                      0,                      0,               0.000208
                     64,                 1.2673,                 1.4728,                0.85964,                0.95531,                      0,             0.00019562
                     65,                 1.2627,                      0,                      0,                      0,                      0,             0.00018325
                     66,                  1.251,                      0,                      0,                      0,                      0,             0.00017087
                     67,                 1.2432,                      0,                      0,                      0,                      0,              0.0001585
                     68,                 1.2346,                      0,                      0,                      0,                      0,             0.00014612
                     69,                 1.2246,                 1.4684,                0.86087,                 0.9549,                      0,             0.00013375
                     70,                  1.218,                      0,                      0,                      0,                      0,             0.00012138
                     71,                 1.2044,                      0,                      0,                      0,                      0,               0.000109
                     72,                 1.2002,                      0,                      0,                      0,                      0,             9.6625e-05
                     73,                 1.1905,                      0,                      0,                      0,                      0,              8.425e-05
                     74,                 1.1839,                 1.4581,                0.86162,                0.95374,                      0,             7.1875e-05
                     75,                 1.1723,                      0,                      0,                      0,                      0,               5.95e-05
                     76,                 1.1658,                      0,                      0,                      0,                      0,             4.7125e-05
                     77,                 1.1609,                      0,                      0,                      0,                      0,              3.475e-05
                     78,                 1.1541,                      0,                      0,                      0,                      0,             2.2375e-05
                     79,                 1.1448,                 1.4573,                0.86251,                0.95319,                      0,                  1e-05
